Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,_Matches,Season,Squad
Gabriel Dos Santos,br BRA,DF,25-090,27.0,1716,1646,67,48,1,11,3,3,0,0,0,0,1533,3,11,Matches,2022-2023,Arsenal
Aaron Ramsdale,eng ENG,GK,24-309,27.0,766,609,155,54,0,5,0,0,0,0,0,0,527,2,3,Matches,2022-2023,Arsenal
William Saliba,fr FRA,DF,21-360,26.8,1865,1822,43,34,0,2,1,0,0,0,0,0,1698,0,8,Matches,2022-2023,Arsenal
Bukayo Saka,eng ENG,FW,21-195,25.7,1063,961,100,9,0,3,119,19,72,53,0,1,797,2,48,Matches,2022-2023,Arsenal
Martin Ødegaard,no NOR,MF,24-092,24.6,1272,1176,88,64,17,7,75,8,16,8,5,1,1018,8,33,Matches,2022-2023,Arsenal
Granit Xhaka,ch SUI,MF,30-173,24.5,1260,1211,46,31,5,5,32,15,0,0,0,0,1063,3,21,Matches,2022-2023,Arsenal
Martinelli,br BRA,FW,21-274,24.1,883,801,77,10,5,2,94,10,55,36,0,0,662,5,36,Matches,2022-2023,Arsenal
Ben White,eng ENG,DF,25-162,23.0,1593,1381,208,34,3,12,46,174,0,0,0,0,1331,4,23,Matches,2022-2023,Arsenal
Thomas Partey,gh GHA,MF,29-279,19.7,1438,1396,39,22,6,9,6,17,0,0,0,0,1243,3,13,Matches,2022-2023,Arsenal
Oleksandr Zinchenko,ua UKR,DF,26-094,17.7,1438,1285,150,35,2,8,33,114,1,0,0,0,1244,3,24,Matches,2022-2023,Arsenal
Gabriel Jesus,br BRA,FW,25-350,13.7,410,377,32,1,1,3,7,7,0,0,0,0,331,1,11,Matches,2022-2023,Arsenal
Eddie Nketiah,eng ENG,FW,23-293,11.1,237,215,22,0,0,1,4,0,0,0,0,0,192,0,11,Matches,2022-2023,Arsenal
Takehiro Tomiyasu,jp JPN,DF,24-134,7.4,474,420,53,4,2,2,12,49,0,0,0,0,384,1,9,Matches,2022-2023,Arsenal
Leandro Trossard,be BEL,FW,28-105,4.3,196,174,22,0,2,4,29,1,17,12,0,0,144,0,8,Matches,2022-2023,Arsenal
Kieran Tierney,sct SCO,DF,25-287,5.5,328,285,40,4,1,1,14,36,0,0,0,0,245,3,6,Matches,2022-2023,Arsenal
Jorginho,it ITA,MF,31-089,3.9,304,296,7,7,3,1,2,0,0,0,0,0,254,1,7,Matches,2022-2023,Arsenal
Fabio Vieira,pt POR,"MF,FW",22-293,4.6,231,221,10,5,1,0,13,3,2,2,0,0,189,0,5,Matches,2022-2023,Arsenal
Albert Sambi Lokonga,be BEL,MF,23-148,2.2,140,135,5,5,1,1,0,0,0,0,0,0,132,0,1,Matches,2022-2023,Arsenal
Mohamed Elneny,eg EGY,MF,30-251,1.3,60,58,2,2,0,0,0,0,0,0,0,0,57,0,1,Matches,2022-2023,Arsenal
Emile Smith Rowe,eng ENG,"FW,MF",22-234,1.2,61,57,4,0,0,0,5,0,4,2,0,0,52,0,1,Matches,2022-2023,Arsenal
Reiss Nelson,eng ENG,FW,23-099,1.2,66,65,1,0,0,0,7,0,1,1,0,0,57,0,0,Matches,2022-2023,Arsenal
Cédric Soares,pt POR,DF,31-200,0.3,24,23,1,0,0,0,3,1,0,0,0,0,19,0,0,Matches,2022-2023,Arsenal
Rob Holding,eng ENG,DF,27-180,0.2,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches,2022-2023,Arsenal
Marquinhos,br BRA,MF,19-346,0.0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches,2022-2023,Arsenal
Ethan Nwaneri,eng ENG,FW,15-363,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2022-2023,Arsenal
Squad Total,,,25.1,27.0,15834,14623,1172,369,50,77,505,457,168,114,5,2,13179,39,280,,2022-2023,Arsenal
Opponent Total,,,27.5,27.0,10606,9343,1196,280,34,81,375,486,97,60,28,3,7963,67,216,,2022-2023,Arsenal
Ederson,br BRA,GK,29-214,27.0,945,783,161,41,1,7,0,0,0,0,0,0,813,1,0,Matches,2022-2023,Manchester City
Rodri,es ESP,MF,26-270,24.9,2345,2305,39,33,2,21,6,3,0,0,0,0,2136,1,15,Matches,2022-2023,Manchester City
Erling Haaland,no NOR,FW,22-241,23.5,373,324,44,0,3,0,9,2,0,0,0,0,271,5,13,Matches,2022-2023,Manchester City
Kevin De Bruyne,be BEL,MF,31-264,21.5,1236,1101,126,44,21,22,184,24,58,15,29,4,884,9,32,Matches,2022-2023,Manchester City
Bernardo Silva,pt POR,"MF,FW",28-221,19.8,1240,1175,63,11,2,9,57,44,7,0,2,0,1058,2,19,Matches,2022-2023,Manchester City
İlkay Gündoğan,de GER,MF,32-146,19.5,1032,997,34,12,14,4,27,3,18,7,4,1,880,1,20,Matches,2022-2023,Manchester City
Manuel Akanji,ch SUI,DF,27-243,18.1,1434,1407,27,16,0,7,4,11,0,0,0,0,1339,0,3,Matches,2022-2023,Manchester City
Jack Grealish,eng ENG,"FW,MF",27-190,16.9,781,733,44,5,3,4,43,18,21,11,0,1,656,4,24,Matches,2022-2023,Manchester City
Nathan Aké,nl NED,DF,28-029,16.8,1456,1353,101,27,1,6,13,74,0,0,0,0,1312,2,24,Matches,2022-2023,Manchester City
Phil Foden,eng ENG,FW,22-295,15.6,846,791,51,7,2,4,79,9,35,4,26,2,678,4,23,Matches,2022-2023,Manchester City
João Cancelo,pt POR,DF,28-296,14.2,1220,1120,98,20,2,14,45,78,0,0,0,0,1036,2,15,Matches,2022-2023,Manchester City
Rúben Dias,pt POR,DF,25-309,15.2,1369,1334,35,25,1,5,1,6,0,0,0,0,1264,0,5,Matches,2022-2023,Manchester City
John Stones,eng ENG,DF,28-295,14.1,1121,1072,48,12,0,10,5,34,1,0,0,0,1044,1,8,Matches,2022-2023,Manchester City
Kyle Walker,eng ENG,DF,32-295,13.0,1186,1087,97,19,3,13,19,78,0,0,0,0,1024,2,10,Matches,2022-2023,Manchester City
Riyad Mahrez,dz ALG,"FW,MF",32-026,11.8,641,564,77,21,5,6,52,22,34,16,10,0,541,0,10,Matches,2022-2023,Manchester City
Julián Álvarez,ar ARG,"FW,MF",23-047,8.3,255,246,8,0,3,2,11,2,0,0,0,0,199,1,12,Matches,2022-2023,Manchester City
Aymeric Laporte,es ESP,DF,28-296,6.2,482,471,10,4,1,3,4,6,0,0,0,0,441,1,2,Matches,2022-2023,Manchester City
Rico Lewis,eng ENG,"DF,MF",18-118,6.0,423,395,27,4,0,0,5,23,0,0,0,0,389,1,6,Matches,2022-2023,Manchester City
Sergio Gómez,es ESP,"DF,MF",22-196,1.6,120,108,12,4,0,0,5,6,2,0,2,0,102,0,3,Matches,2022-2023,Manchester City
Cole Palmer,eng ENG,"FW,MF",20-317,1.3,72,71,1,0,0,1,4,0,1,0,0,0,62,0,0,Matches,2022-2023,Manchester City
Kalvin Phillips,eng ENG,MF,27-107,0.7,60,59,1,1,0,0,0,0,0,0,0,0,55,0,0,Matches,2022-2023,Manchester City
Máximo Perrone,ar ARG,MF,20-071,0.2,21,20,0,0,0,0,0,0,0,0,0,0,18,1,1,Matches,2022-2023,Manchester City
Squad Total,,,27.9,27.0,18658,17516,1104,306,64,138,573,443,177,53,73,8,16202,38,245,,2022-2023,Manchester City
Opponent Total,,,27.5,27.0,10375,9273,1053,277,26,84,272,370,67,34,13,5,8073,49,193,,2022-2023,Manchester City
David de Gea,es ESP,GK,32-132,26.0,810,648,157,41,0,3,0,0,0,0,0,0,581,5,0,Matches,2022-2023,Manchester United
Bruno Fernandes,pt POR,"MF,FW",28-192,25.0,1278,1163,108,21,17,25,95,13,40,15,10,1,927,7,45,Matches,2022-2023,Manchester United
Marcus Rashford,eng ENG,FW,25-139,23.6,583,565,14,1,2,4,20,7,0,0,0,0,435,4,26,Matches,2022-2023,Manchester United
Lisandro Martínez,ar ARG,DF,25-060,20.6,1321,1216,100,24,6,13,0,5,0,0,0,0,1144,5,6,Matches,2022-2023,Manchester United
Luke Shaw,eng ENG,DF,27-250,20.5,1465,1243,215,29,2,10,68,157,20,12,6,0,1197,7,32,Matches,2022-2023,Manchester United
Christian Eriksen,dk DEN,MF,31-033,16.5,1031,944,82,23,6,16,60,4,50,19,15,0,813,5,18,Matches,2022-2023,Manchester United
Diogo Dalot,pt POR,DF,24-001,16.9,1008,845,159,11,2,15,36,148,0,0,0,0,778,4,26,Matches,2022-2023,Manchester United
Raphaël Varane,fr FRA,DF,29-328,16.4,856,830,23,21,0,4,1,2,0,0,0,0,734,3,4,Matches,2022-2023,Manchester United
Casemiro,br BRA,MF,31-024,14.9,916,895,18,18,7,10,12,0,0,0,0,0,705,3,17,Matches,2022-2023,Manchester United
Antony,br BRA,"FW,MF",23-023,11.9,453,448,5,1,1,2,23,3,1,0,0,0,349,0,15,Matches,2022-2023,Manchester United
Jadon Sancho,eng ENG,"FW,MF",22-359,10.3,406,398,8,0,2,1,8,7,0,0,0,0,340,0,12,Matches,2022-2023,Manchester United
Fred,br BRA,MF,30-014,10.8,590,576,11,7,5,1,11,1,0,0,0,0,465,3,18,Matches,2022-2023,Manchester United
Tyrell Malacia,nl NED,DF,23-214,10.2,482,392,89,6,0,2,13,81,2,2,0,0,403,1,13,Matches,2022-2023,Manchester United
Aaron Wan-Bissaka,eng ENG,DF,25-113,8.2,413,350,62,3,0,2,9,59,0,0,0,0,339,1,11,Matches,2022-2023,Manchester United
Wout Weghorst,nl NED,"FW,MF",30-224,6.2,136,136,0,0,3,1,0,0,0,0,0,0,98,0,5,Matches,2022-2023,Manchester United
Scott McTominay,sct SCO,MF,26-101,9.6,315,310,4,3,1,3,2,1,0,0,0,0,260,1,2,Matches,2022-2023,Manchester United
Anthony Martial,fr FRA,FW,27-104,5.1,133,122,9,2,2,0,3,2,0,0,0,0,107,2,6,Matches,2022-2023,Manchester United
Victor Lindelöf,se SWE,DF,28-245,6.0,391,385,6,5,0,0,0,0,0,0,0,0,361,0,0,Matches,2022-2023,Manchester United
Harry Maguire,eng ENG,DF,30-014,5.4,377,371,5,5,0,5,1,0,0,0,0,0,326,1,2,Matches,2022-2023,Manchester United
Anthony Elanga,se SWE,FW,20-326,4.7,130,127,3,0,0,1,7,2,0,0,0,0,95,0,2,Matches,2022-2023,Manchester United
Cristiano Ronaldo,pt POR,FW,38-042,5.8,162,157,5,0,2,1,3,1,0,0,0,0,121,0,10,Matches,2022-2023,Manchester United
Alejandro Garnacho,es ESP,"FW,MF",18-261,5.0,143,143,0,0,0,1,1,0,0,0,0,0,115,0,6,Matches,2022-2023,Manchester United
Marcel Sabitzer,at AUT,MF,29-002,3.1,170,164,5,3,0,2,2,2,0,0,0,0,139,1,2,Matches,2022-2023,Manchester United
Donny van de Beek,nl NED,MF,25-335,1.9,61,56,3,0,0,0,0,0,1,0,0,0,46,2,4,Matches,2022-2023,Manchester United
Facundo Pellistri,uy URU,"FW,MF",21-089,0.5,12,11,1,0,0,0,0,1,0,0,0,0,11,0,0,Matches,2022-2023,Manchester United
Kobbie Mainoo,eng ENG,MF,17-334,0.1,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0,Matches,2022-2023,Manchester United
Squad Total,,,27.6,26.0,13650,12503,1092,224,58,122,375,496,114,48,31,1,10896,55,282,,2022-2023,Manchester United
Opponent Total,,,27.1,26.0,12320,11086,1204,331,28,78,478,472,148,71,41,3,9538,30,278,,2022-2023,Manchester United
Harry Kane,eng ENG,FW,29-234,27.8,665,610,49,10,10,14,30,20,0,0,0,0,461,6,32,Matches,2022-2023,Tottenham Hotspur
Pierre Højbjerg,dk DEN,MF,27-226,26.8,1816,1751,61,45,7,33,12,11,1,0,0,0,1614,4,23,Matches,2022-2023,Tottenham Hotspur
Eric Dier,eng ENG,DF,29-063,25.3,1653,1592,58,51,0,14,11,6,0,0,0,0,1432,3,12,Matches,2022-2023,Tottenham Hotspur
Son Heung-min,kr KOR,"MF,FW",30-254,22.5,672,557,109,21,3,0,102,5,80,34,29,0,486,6,22,Matches,2022-2023,Tottenham Hotspur
Hugo Lloris,fr FRA,GK,36-083,21.0,625,443,179,16,0,0,0,0,0,0,0,0,493,3,1,Matches,2022-2023,Tottenham Hotspur
Ben Davies,wls WAL,DF,29-329,20.3,1068,1007,58,24,0,8,29,34,0,0,0,0,882,3,14,Matches,2022-2023,Tottenham Hotspur
Cristian Romero,ar ARG,DF,24-326,18.3,1102,1042,59,44,1,17,0,15,0,0,0,0,966,1,20,Matches,2022-2023,Tottenham Hotspur
Ivan Perišić,hr CRO,"DF,MF",34-045,17.5,841,672,166,10,0,11,141,103,53,48,1,0,541,3,29,Matches,2022-2023,Tottenham Hotspur
Rodrigo Bentancur,uy URU,MF,25-267,16.7,880,852,25,11,3,3,16,4,1,0,0,0,738,3,19,Matches,2022-2023,Tottenham Hotspur
Dejan Kulusevski,se SWE,"MF,FW",22-328,16.3,548,507,41,0,3,2,43,4,17,2,3,0,418,0,19,Matches,2022-2023,Tottenham Hotspur
Emerson,br BRA,DF,24-064,15.5,832,684,144,16,0,6,44,127,1,0,0,0,662,4,29,Matches,2022-2023,Tottenham Hotspur
