Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,_Ast,_xAG,_xA,_A-xAG,_KP,_1/3,_PPA,_CrsPA,_PrgP,_Matches,Season,Squad
Gabriel Dos Santos,br BRA,DF,25-090,27.0,1533,1716,89.3,27470,9624,616,649,94.9,789,841,93.8,108,182,59.3,0,0.2,0.4,-0.2,2,122,2,0,112,Matches,2022-2023,Arsenal
Aaron Ramsdale,eng ENG,GK,24-309,27.0,527,766,68.8,13273,9050,132,138,95.7,258,264,97.7,137,360,38.1,0,0.0,0.0,0.0,0,19,2,0,7,Matches,2022-2023,Arsenal
William Saliba,fr FRA,DF,21-360,26.8,1698,1865,91.0,29692,11617,715,767,93.2,844,905,93.3,108,144,75.0,1,1.2,0.3,-0.2,6,111,3,0,99,Matches,2022-2023,Arsenal
Bukayo Saka,eng ENG,FW,21-195,25.7,797,1063,75.0,11569,2735,491,560,87.7,218,280,77.9,54,113,47.8,9,6.2,4.4,2.8,58,38,49,11,77,Matches,2022-2023,Arsenal
Martin Ødegaard,no NOR,MF,24-092,24.6,1018,1272,80.0,15889,4634,524,596,87.9,358,438,81.7,86,133,64.7,6,6.5,6.0,-0.5,61,90,73,4,199,Matches,2022-2023,Arsenal
Granit Xhaka,ch SUI,MF,30-173,24.5,1063,1260,84.4,17442,4590,516,579,89.1,425,492,86.4,90,111,81.1,5,4.1,3.3,0.9,38,119,32,2,160,Matches,2022-2023,Arsenal
Martinelli,br BRA,FW,21-274,24.1,662,883,75.0,10334,2102,350,408,85.8,234,284,82.4,53,107,49.5,2,5.5,5.0,-3.5,43,26,31,3,80,Matches,2022-2023,Arsenal
Ben White,eng ENG,DF,25-162,23.0,1331,1593,83.6,22408,7475,623,684,91.1,598,686,87.2,85,155,54.8,2,2.0,2.6,0.0,20,163,31,10,184,Matches,2022-2023,Arsenal
Thomas Partey,gh GHA,MF,29-279,19.7,1243,1438,86.4,21674,6636,572,633,90.4,511,575,88.9,131,181,72.4,0,1.2,1.7,-1.2,21,164,18,2,164,Matches,2022-2023,Arsenal
Oleksandr Zinchenko,ua UKR,DF,26-094,17.7,1244,1438,86.5,20083,5725,634,683,92.8,504,580,86.9,74,106,69.8,2,1.4,2.1,0.6,18,143,34,4,178,Matches,2022-2023,Arsenal
